,submit_time,duration,cpu,memory,job_id,task_id,instances_num,disk,task_type
0,539,116.3816254,1,0.005404706,1,1,283,0,A
1,7448,73.59701493,0.5,0.007863743,9,23,67,0,A
2,7448,87.38095238,0.5,0.007848213,9,24,21,0,A
3,7448,21.17647059,0.5,0.016007041,9,25,17,0,A
4,7448,2,0.5,0.005404706,9,26,1,0,A
5,7448,41.39285714,0.5,0.013356457,9,27,28,0,A
6,7448,3,0.5,0.004094945,9,28,1,0,A
7,8250,183,1,0.005404706,10,29,15,0,A
8,8250,183,1,0.005404706,10,30,19,0,A
9,8250,183.1851852,1,0.005404706,10,31,27,0,A
10,8250,140.3529412,1,0.005404706,10,32,17,0,A
11,8250,2,1,0.005404706,10,33,1,0,A
12,8250,2,1,0.005404706,10,34,1,0,A
13,8250,183,1,0.005404706,10,35,7,0,A
14,8250,183,1,0.005404706,10,36,19,0,A
15,8687,6,0.5,0.004105299,12,42,1,0,A
16,8687,3,0.5,0.004074237,12,43,1,0,A
17,8687,48.55102041,0.5,0.016007041,12,44,393,0,A
18,8687,32.5,0.5,0.010705873,12,45,115,0,A
19,8687,38.33333333,0.5,0.010705873,12,46,3,0,A
20,8687,50.75,0.5,0.009774027,12,47,8,0,A
21,8687,7,0.5,0.004053529,12,49,1,0,A
22,10908,162.1126437,0.5,0.010265835,16,68,435,0,A
23,10908,12,0.5,0.004100122,16,69,1,0,A
24,10908,6,0.5,0.004074237,16,70,1,0,A
25,10908,34.90909091,0.5,0.016007041,16,71,253,0,A
26,10908,54.91036415,0.5,0.013356457,16,72,357,0,A
27,10908,339.9670782,0.5,0.009520358,16,73,243,0,A
28,10908,452.8806584,0.5,0.008257189,16,74,243,0,A
29,11042,100.5074627,0.5,0.007863743,17,75,67,0,A
30,11042,113.7619048,0.5,0.007848213,17,76,21,0,A
31,11042,21.70588235,0.5,0.016007041,17,77,17,0,A
32,11042,4,0.5,0.005404706,17,78,1,0,A
33,11042,65.67857143,0.5,0.013356457,17,79,28,0,A
34,11042,8,0.5,0.004094945,17,80,1,0,A
35,13158,29.65217391,0.5,0.004188129,22,98,23,0,A
36,13158,27.11111111,0.5,0.00805529,22,99,9,0,A
37,13158,43.34782609,0.5,0.00805529,22,100,161,0,A
38,13158,40.5,0.5,0.00805529,22,101,10,0,A
39,13158,74.22222222,0.5,0.005736029,22,102,9,0,A
40,13158,50.66666667,0.5,0.005736029,22,103,3,0,A
41,13158,125.4795322,0.5,0.005736029,22,104,171,0,A
42,13158,72.71428571,0.5,0.005736029,22,105,7,0,A
43,14639,92.34328358,0.5,0.007863743,25,119,67,0,A
44,14639,163.2380952,0.5,0.007848213,25,120,21,0,A
45,14639,23.70588235,0.5,0.016007041,25,121,17,0,A
46,14639,4,0.5,0.005404706,25,122,1,0,A
47,14639,55.25,0.5,0.013356457,25,123,28,0,A
48,14639,4,0.5,0.004094945,25,124,1,0,A
49,16454,195.091653,0.5,0.008935366,27,137,611,0,A
50,16454,53.46666667,0.5,0.008531566,27,138,15,0,A
51,16454,82.81553398,0.5,0.013356457,27,139,103,0,A
52,16454,8,0.5,0.004074237,27,140,1,0,A
53,16454,46.06666667,0.5,0.016007041,27,141,195,0,A
54,16454,24.85185185,0.5,0.008050113,27,142,54,0,A
55,16454,28.66666667,0.5,0.00805529,27,143,3,0,A
56,16454,29,0.5,0.013356457,27,144,2,0,A
57,16454,257.010989,0.5,0.009106205,27,145,91,0,A
58,16454,263.8965517,0.5,0.008174359,27,146,87,0,A
59,16454,270.5925926,0.5,0.008552274,27,147,27,0,A
60,16454,275.9565217,0.5,0.008019051,27,148,23,0,A
61,16454,60.81818182,0.5,0.008707582,27,149,11,0,A
